Pos	Num	Player Name                   	Status	TCKL	SCK	INT	Team
CB	38	Johnson, Trey                 	ACT	--	--	--	DEN
CB	24	Johnson, Taron                	ACT	42	1.0	1	BUF
CB	22	Johnson, Trumaine             	ACT	40	0.0	4	NYJ
CB	31	Jones, Byron                  	ACT	67	0.0	--	DAL
DB	25	Jones, Chris                  	ACT	0	--	--	ARI
SS	42	Jones, Colin                  	ACT	20	0.0	1	CAR
CB	27	Jones, Cyrus                  	ACT	8	0.0	0	BAL
DB	34	Jones, David                  	ACT	--	--	--	DET
CB	31	Jones, Derrick                	ACT	3	0.0	--	NYJ
DB	31	Jones, Jonathan               	ACT	56	1.5	3	NE
DB	27	Jones, Josh                   	ACT	55	1.0	--	GB
FS	20	Jones, Reshad                 	ACT	72	0.0	3	MIA
CB	22	Jones, Sidney                 	ACT	25	0.0	--	PHI
DB	29	Jones-Quartey, Harold         	ACT	--	--	--	KC
CB	33	Jordan, Mike                  	ACT	0	--	--	TEN
CB	24	Joseph, Johnathan             	ACT	58	0.0	2	HOU
FS	42	Joseph, Karl                  	ACT	48	2.0	1	OAK
CB	21	Joseph, Michael               	ACT	--	--	--	CHI
FS	20	Joyner, Lamarcus              	ACT	78	1.0	1	OAK
DB	46	Kalu, Joshua                  	ACT	4	0.0	--	TEN
SS	27	Kazee, Damontae               	ACT	82	0.0	7	ATL
SAF	27	Kearse, Jayron                	ACT	32	0.5	--	MIN
DB	35	Kelly, Jermaine               	ACT	--	--	--	HOU
DB	37	Kelly, Kam                    	ACT	--	--	--	PIT
DB	35	Killebrew, Miles              	ACT	7	0.0	--	DET
DB	37	Killings, D.J.                	ACT	0	--	--	IND
CB	26	Kindred, Derrick              	ACT	45	0.0	1	IND
CB	36	King, Akeem                   	ACT	21	0.0	--	SEA
DB	20	King, Desmond                 	ACT	62	0.0	3	LAC
CB	20	King, Kevin                   	ACT	17	0.0	1	GB
CB	27	Kirkpatrick, Dre              	ACT	41	0.0	--	CIN
DB	33	Ladler, Kenny                 	ACT	9	0.0	0	NYG
DB	35	Laguda, Afolabi               	ACT	--	--	--	ATL
